mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
400.24,5.808820878629328,391.0,407.0,395.24,4.847927392195556,387.0,400.0,20.875533979714618,23.753148866240455,3.125,178.125,2.0,2076.391278629834,0,1850,1900
396.26,2.2698898651696737,391.0,399.0,395.72,4.878688348316584,387.0,401.0,16.236898477828106,11.26890091449487,15.625,174.69281074217108,0.5,292.0255505616961,0,1875,1925
397.22,1.2048236385463227,393.0,398.0,398.1,6.360031446463139,368.0,401.0,24.51304408059335,45.267103617338805,-18.75,155.1209205748857,0.0,624.5260447613207,0,1900,1950
395.4,1.9999999999999998,393.0,398.0,361.72,36.096005319148546,321.0,401.0,43.39426668616709,64.40642529103604,6.25,149.73935688388676,1.0,16776.08630491381,0,1925,1975
393.48,0.5381449618829484,392.0,394.0,326.24,7.6669681100158495,321.0,361.0,27.736266424348123,52.40538641053588,3.125,134.375,0.0,844.2037910086831,0,1950,2000
394.04,1.1306635220082055,392.0,396.0,326.04,1.3410443691392169,322.0,328.0,8.724873734152915,7.211211987113439,-3.125,118.95541444171425,1.0,91.43538315204304,0,1975,2025
395.84,1.2705904139414872,393.0,398.0,326.74,0.626418390534633,326.0,328.0,6.974873734152916,7.165970722283462,0.0,116.92679333668566,1.5,89.48255457088423,0,2000,2050
397.4,0.7745966692414834,396.0,398.0,327.4,0.7211102550927979,326.0,329.0,5.414213562373095,6.75916352080753,0.0,88.38834764831844,5.0,102.14588514517938,0,2025,2075
396.14,2.2716513817045083,393.0,398.0,329.62,2.505114767830009,327.0,334.0,7.076783947341316,7.494606658301171,0.0,54.12658773652741,0.5,133.07412157574308,0,2050,2100
393.5,1.5524174696260025,392.0,398.0,333.4,2.756809750418044,327.0,338.0,8.43033733793459,8.150424060662484,0.0,69.87712429686843,0.5,109.0337122566381,0,2075,2125
